Date|1 AUD|1 BGN|1 CAD|1 CHF|1 CNY|1 CYP|1 DKK|1 EEK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|100 ISK|100 JPY|100 KRW|1 LTL|1 LVL|1 MTL|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 SIT|100 SKK|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2006|18.013|14.848|21.144|18.693|3.044|50.648|3.893|1.856|29.045|42.319|3.167|3.934|11.494|2.498|38.918|20.816|2.425|8.412|41.722|67.709|6.498|3.640|16.751|46.273|7.514|7.883|85.414|3.091|14.779|12.127|76.707|59.864|18.185|24.559|35.102|3.878
03.01.2006|17.954|14.819|20.995|18.658|3.026|50.547|3.885|1.853|28.990|42.186|3.148|3.926|11.528|2.510|38.962|20.786|2.428|8.396|41.649|67.526|6.460|3.642|16.634|46.423|7.544|7.898|84.949|3.099|14.758|12.104|76.886|59.781|18.109|24.412|34.972|3.875
04.01.2006|17.854|14.829|20.817|18.696|2.975|50.567|3.886|1.853|29.000|42.147|3.095|3.928|11.551|2.486|38.816|20.687|2.404|8.399|41.664|67.549|6.365|3.655|16.500|45.809|7.564|7.886|83.510|3.101|14.596|12.108|77.013|59.300|17.960|24.002|34.643|3.882
05.01.2006|17.863|14.798|20.765|18.717|2.969|50.460|3.880|1.850|28.945|42.019|3.088|3.913|11.556|2.496|38.665|20.630|2.425|8.383|41.585|67.421|6.370|3.649|16.382|45.632|7.622|7.860|83.457|3.104|14.540|12.085|76.889|59.284|17.938|23.943|34.576|3.890
06.01.2006|17.883|14.789|20.423|18.719|2.966|50.445|3.877|1.849|28.925|41.991|3.084|3.915|11.532|2.499|39.005|20.622|2.414|8.377|41.556|67.380|6.373|3.648|16.392|45.532|7.585|7.848|83.351|3.105|14.534|12.078|76.912|59.693|17.929|23.916|34.536|3.885
09.01.2006|17.932|14.739|20.378|18.684|2.959|50.258|3.865|1.842|28.825|42.160|3.078|3.905|11.544|2.522|39.073|20.904|2.441|8.348|41.412|67.133|6.365|3.634|16.526|45.460|7.671|7.867|83.171|3.087|14.606|12.036|77.072|59.957|17.846|23.860|34.471|3.927
10.01.2006|17.946|14.726|20.443|18.655|2.961|50.220|3.862|1.841|28.800|42.153|3.079|3.901|11.490|2.525|38.974|20.839|2.431|8.341|41.376|67.081|6.367|3.609|16.537|45.332|7.608|7.887|83.776|3.080|14.611|12.026|76.861|59.921|17.662|23.870|34.560|3.910
11.01.2006|17.892|14.694|20.423|18.577|2.948|50.136|3.855|1.837|28.750|41.750|3.067|3.894|11.506|2.512|38.829|20.786|2.415|8.326|41.299|66.963|6.346|3.581|16.525|45.203|7.615|7.923|83.522|3.075|14.590|12.005|76.913|59.764|17.737|23.777|34.439|3.893
12.01.2006|17.920|14.717|20.494|18.596|2.947|50.185|3.858|1.840|28.785|42.038|3.066|3.901|11.508|2.543|38.979|20.934|2.440|8.337|41.349|67.040|6.353|3.564|16.586|45.445|7.616|7.913|83.586|3.085|14.651|12.019|76.924|60.424|17.786|23.768|34.389|3.925
13.01.2006|17.984|14.745|20.643|18.619|2.970|50.289|3.867|1.843|28.840|42.316|3.091|3.911|11.513|2.556|38.971|20.882|2.426|8.352|41.440|67.179|6.406|3.584|16.631|45.729|7.563|7.946|84.087|3.099|14.678|12.042|76.866|60.532|17.848|23.957|34.652|3.944
16.01.2006|17.922|14.721|20.489|18.579|2.948|50.220|3.860|1.840|28.795|42.007|3.066|3.902|11.502|2.509|38.849|20.677|2.420|8.339|41.375|67.092|6.348|3.578|16.601|45.223|7.560|7.919|84.053|3.086|14.546|12.022|76.834|59.922|17.842|23.774|34.387|3.967
17.01.2006|17.965|14.736|20.592|18.609|2.959|50.255|3.864|1.842|28.825|42.059|3.078|3.904|11.526|2.520|38.896|20.702|2.413|8.348|41.418|67.152|6.366|3.556|16.493|45.404|7.519|7.903|84.253|3.090|14.613|12.037|76.785|60.064|17.886|23.869|34.503|3.960
18.01.2006|17.837|14.756|20.441|18.660|2.950|50.317|3.868|1.844|28.860|42.050|3.070|3.909|11.461|2.505|38.673|20.678|2.399|8.358|41.468|67.229|6.337|3.552|16.378|45.149|7.486|7.912|84.194|3.094|14.615|12.051|76.727|60.296|17.798|23.805|34.470|3.924
19.01.2006|17.718|14.691|20.203|18.494|2.950|50.095|3.850|1.837|28.735|41.774|3.069|3.890|11.430|2.533|38.421|20.659|2.420|8.322|41.289|66.940|6.350|3.535|16.122|45.119|7.480|7.887|84.111|3.077|14.596|11.999|76.484|60.437|17.745|23.800|34.400|3.961
20.01.2006|17.720|14.611|20.365|18.423|2.938|49.822|3.830|1.827|28.580|41.700|3.053|3.871|11.405|2.509|38.400|20.536|2.399|8.277|41.066|66.559|6.322|3.536|16.093|44.713|7.449|7.845|83.690|3.072|14.548|11.935|76.264|60.466|17.729|23.676|34.220|3.939
23.01.2006|17.563|14.627|20.242|18.490|2.890|49.859|3.833|1.828|28.605|41.592|3.004|3.876|11.442|2.465|38.107|20.384|2.374|8.284|41.105|66.659|6.215|3.552|15.948|44.056|7.446|7.868|83.265|3.089|14.378|11.945|76.329|59.567|17.579|23.297|33.952|3.904
24.01.2006|17.463|14.611|20.237|18.446|2.889|49.795|3.831|1.826|28.575|41.550|3.003|3.872|11.432|2.453|37.929|20.343|2.387|8.276|41.053|66.559|6.214|3.552|15.792|44.292|7.439|7.878|83.213|3.083|14.362|11.932|76.424|59.314|17.615|23.287|33.937|3.845
25.01.2006|17.457|14.520|20.071|18.348|2.865|49.507|3.807|1.816|28.410|41.366|2.978|3.859|11.422|2.472|37.807|20.121|2.385|8.228|40.816|66.156|6.169|3.537|15.874|44.130|7.461|7.820|82.640|3.065|14.277|11.864|76.330|59.305|17.486|23.102|33.650|3.824
26.01.2006|17.505|14.519|20.067|18.322|2.876|49.481|3.805|1.815|28.395|41.405|2.988|3.854|11.380|2.476|37.936|20.018|2.392|8.224|40.794|66.143|6.188|3.519|15.965|44.222|7.417|7.847|82.811|3.069|14.289|11.857|76.085|59.588|17.518|23.177|33.812|3.809
27.01.2006|17.534|14.513|20.335|18.280|2.893|49.456|3.803|1.814|28.385|41.467|3.007|3.858|11.285|2.488|37.702|19.963|2.402|8.221|40.780|66.114|6.218|3.510|15.914|44.514|7.422|7.838|83.145|3.066|14.344|11.851|75.977|59.721|17.614|23.321|33.792|3.811
30.01.2006|17.619|14.515|20.531|18.251|2.915|49.494|3.804|1.814|28.390|41.528|3.029|3.860|11.282|2.503|37.839|19.995|2.421|8.223|40.793|66.131|6.266|3.494|16.027|45.036|7.435|7.858|83.471|3.077|14.408|11.855|75.990|60.048|17.689|23.500|33.924|3.816
31.01.2006|17.684|14.527|20.490|18.273|2.908|49.526|3.806|1.816|28.410|41.518|3.023|3.865|11.242|2.498|37.513|19.985|2.430|8.228|40.816|66.184|6.251|3.512|16.055|44.958|7.402|7.850|83.344|3.071|14.444|11.864|76.024|60.103|17.695|23.445|33.888|3.834
01.02.2006|17.695|14.510|20.592|18.264|2.911|49.465|3.803|1.814|28.385|41.699|3.025|3.870|11.291|2.516|37.363|19.959|2.440|8.221|40.780|66.130|6.258|3.522|16.108|45.068|7.440|7.851|83.507|3.073|14.439|11.854|76.142|59.899|17.721|23.471|33.921|3.846
02.02.2006|17.792|14.582|20.682|18.333|2.931|49.708|3.820|1.822|28.515|42.012|3.047|3.889|11.371|2.528|37.356|19.934|2.430|8.259|40.967|66.411|6.297|3.541|16.243|45.371|7.469|7.904|83.831|3.071|14.468|11.908|76.284|60.060|17.790|23.634|34.077|3.864
03.02.2006|17.776|14.576|20.623|18.334|2.932|49.689|3.819|1.822|28.510|41.977|3.047|3.888|11.357|2.539|37.528|19.931|2.436|8.257|40.960|66.413|6.313|3.553|16.307|45.632|7.438|7.901|83.892|3.073|14.473|11.906|76.306|60.016|17.839|23.637|34.088|3.887
06.02.2006|17.657|14.490|20.680|18.216|2.936|49.405|3.795|1.811|28.340|41.474|3.049|3.864|11.320|2.566|37.509|19.918|2.456|8.208|40.715|66.014|6.327|3.522|16.171|45.596|7.431|7.880|83.725|3.048|14.543|11.833|75.895|59.985|17.806|23.655|33.971|3.865
07.02.2006|17.634|14.538|20.701|18.284|2.948|49.536|3.807|1.817|28.430|41.454|3.060|3.873|11.379|2.584|37.859|20.130|2.452|8.234|40.845|66.216|6.360|3.533|16.204|45.978|7.449|7.929|83.994|3.055|14.591|11.871|75.652|60.031|17.867|23.745|34.123|3.886
08.02.2006|17.579|14.555|20.624|18.337|2.959|49.603|3.814|1.820|28.475|41.501|3.070|3.873|11.330|2.572|37.987|20.125|2.452|8.247|40.909|66.323|6.382|3.553|16.112|46.038|7.448|7.954|84.252|3.071|14.588|11.890|75.631|59.941|17.836|23.829|34.209|3.811
09.02.2006|17.492|14.500|20.609|18.223|2.941|49.411|3.799|1.813|28.360|41.219|3.052|3.857|11.299|2.565|37.695|19.983|2.435|8.213|40.744|66.061|6.351|3.538|16.021|45.862|7.443|8.000|83.819|3.062|14.540|11.843|75.506|59.855|17.800|23.688|34.023|3.854
10.02.2006|17.511|14.447|20.540|18.170|2.933|49.213|3.786|1.806|28.260|41.320|3.042|3.855|11.276|2.557|37.297|20.070|2.439|8.185|40.601|65.877|6.339|3.500|16.100|45.880|7.478|7.988|83.529|3.051|14.523|11.800|75.430|60.240|17.798|23.605|33.931|3.861
13.02.2006|17.624|14.530|20.682|18.264|2.972|49.509|3.807|1.816|28.420|41.573|3.081|3.885|11.307|2.589|37.381|20.248|2.447|8.231|40.833|66.212|6.420|3.508|16.219|46.364|7.494|8.057|84.755|3.044|14.659|11.866|75.696|60.805|17.965|23.905|34.362|3.868
14.02.2006|17.656|14.570|20.673|18.298|2.977|49.635|3.818|1.821|28.500|41.555|3.086|3.899|11.331|2.596|37.477|20.419|2.469|8.254|40.939|66.378|6.436|3.504|16.110|46.553|7.517|8.071|84.943|3.053|14.712|11.899|75.904|60.922|18.043|23.952|34.304|3.886
15.02.2006|17.707|14.523|20.680|18.235|2.962|49.466|3.805|1.815|28.405|41.554|3.074|3.890|11.324|2.589|37.415|20.296|2.449|8.227|40.803|66.155|6.411|3.491|16.163|46.285|7.529|8.052|84.579|3.043|14.659|11.861|75.929|60.605|17.826|23.860|34.198|3.911
16.02.2006|17.626|14.501|20.633|18.195|2.971|49.380|3.798|1.813|28.360|41.446|3.081|3.890|11.302|2.593|37.480|20.240|2.454|8.214|40.744|66.052|6.427|3.498|16.049|46.342|7.536|8.053|84.631|3.019|14.599|11.843|75.890|60.668|17.959|23.912|34.283|3.922
17.02.2006|17.593|14.501|20.663|18.161|2.971|49.396|3.800|1.813|28.365|41.479|3.081|3.888|11.268|2.587|37.599|20.145|2.458|8.215|40.751|66.067|6.426|3.519|15.852|46.243|7.534|8.085|84.684|3.024|14.615|11.845|75.984|60.779|18.026|23.907|34.199|3.943
20.02.2006|17.631|14.527|20.711|18.189|2.959|49.445|3.807|1.816|28.410|41.488|3.068|3.891|11.288|2.579|37.665|20.134|2.460|8.228|40.816|66.191|6.402|3.527|15.919|45.873|7.543|8.103|84.516|3.034|14.623|11.863|76.166|60.495|18.064|23.808|34.057|3.950
21.02.2006|17.662|14.556|20.829|18.253|2.972|49.567|3.814|1.819|28.460|41.739|3.081|3.895|11.301|2.581|36.968|20.105|2.469|8.243|40.894|66.322|6.429|3.533|15.882|46.142|7.534|8.135|84.740|3.032|14.659|11.885|76.376|60.680|18.149|23.911|34.251|3.942
22.02.2006|17.658|14.597|20.932|18.308|2.988|49.707|3.826|1.825|28.550|41.810|3.098|3.904|11.271|2.570|35.470|20.259|2.467|8.269|41.011|66.542|6.461|3.543|15.808|46.415|7.486|8.158|85.254|3.045|14.729|11.921|76.235|60.841|18.071|24.043|34.441|3.922
23.02.2006|17.626|14.523|20.711|18.223|2.953|49.435|3.807|1.815|28.405|41.660|3.062|3.884|11.225|2.564|35.804|20.309|2.460|8.226|40.803|66.169|6.395|3.530|15.729|46.012|7.489|8.098|84.283|3.018|14.629|11.860|76.092|60.394|18.028|23.756|34.151|3.912
24.02.2006|17.660|14.501|20.683|18.175|2.966|49.368|3.801|1.813|28.360|41.694|3.073|3.880|11.218|2.566|35.987|20.392|2.467|8.214|40.747|66.072|6.419|3.525|15.816|45.724|7.492|8.088|84.568|3.011|14.680|11.842|76.063|60.543|18.061|23.845|34.232|3.893
27.02.2006|17.631|14.490|20.853|18.124|2.974|49.332|3.799|1.811|28.340|41.619|3.081|3.872|11.223|2.589|36.053|20.573|2.468|8.208|40.698|66.002|6.439|3.531|15.761|46.013|7.521|8.096|85.009|3.001|14.733|11.833|76.042|60.906|18.161|23.909|34.274|3.882
28.02.2006|17.648|14.485|20.938|18.090|2.967|49.312|3.796|1.810|28.325|41.681|3.074|3.878|11.188|2.597|36.428|20.496|2.456|8.203|40.688|65.991|6.420|3.530|15.737|46.184|7.480|8.137|84.891|2.997|14.688|11.827|76.337|60.872|18.163|23.850|34.225|3.854
01.03.2006|17.612|14.450|20.771|18.106|2.942|49.203|3.789|1.806|28.265|41.516|3.047|3.867|11.154|2.574|36.533|20.403|2.440|8.186|40.602|65.819|6.372|3.521|15.735|46.022|7.489|8.128|84.366|2.991|14.609|11.802|76.444|60.662|18.016|23.637|33.920|3.834
02.03.2006|17.734|14.483|20.943|18.107|2.957|49.312|3.797|1.811|28.330|41.470|3.063|3.873|11.185|2.586|35.949|20.420|2.452|8.205|40.701|65.983|6.410|3.537|15.816|46.363|7.503|8.151|84.770|2.994|14.688|11.829|76.671|61.560|18.221|23.761|34.156|3.868
03.03.2006|17.683|14.577|20.915|18.245|2.952|49.637|3.821|1.822|28.515|41.626|3.057|3.894|11.206|2.582|36.042|20.371|2.442|8.258|40.961|66.413|6.401|3.559|15.813|46.353|7.506|8.196|84.932|3.014|14.651|11.906|76.736|61.108|18.208|23.719|34.187|3.858
06.03.2006|17.654|14.595|20.853|18.292|2.956|49.688|3.825|1.824|28.545|41.638|3.061|3.895|11.210|2.586|35.902|20.238|2.436|8.267|41.010|66.488|6.407|3.578|15.695|46.543|7.477|8.205|85.142|3.019|14.609|11.918|76.780|61.237|18.151|23.751|34.224|3.815
07.03.2006|17.784|14.710|21.096|18.425|3.004|50.077|3.857|1.839|28.770|41.951|3.112|3.928|11.268|2.610|36.159|20.501|2.473|8.332|41.327|67.008|6.504|3.603|15.675|47.311|7.461|8.247|86.112|3.037|14.793|12.012|76.853|61.810|18.228|24.152|34.802|3.829
08.03.2006|17.752|14.729|20.978|18.469|3.005|50.136|3.862|1.841|28.805|41.991|3.115|3.933|11.259|2.595|35.044|20.522|2.462|8.342|41.384|67.092|6.501|3.597|15.690|47.218|7.409|8.236|86.558|3.041|14.811|12.025|76.634|61.680|17.891|24.175|34.638|3.833
09.03.2006|17.716|14.673|20.800|18.351|2.990|49.936|3.847|1.834|28.695|41.841|3.101|3.922|11.151|2.587|34.729|20.482|2.451|8.311|41.225|66.836|6.470|3.577|15.648|46.854|7.399|8.209|85.862|3.043|14.792|11.979|76.438|61.608|17.915|24.069|34.498|3.841
10.03.2006|17.744|14.713|20.751|18.370|2.999|50.095|3.858|1.839|28.780|41.937|3.111|3.929|11.124|2.613|34.251|20.390|2.463|8.336|41.348|67.025|6.495|3.609|15.534|47.109|7.371|8.210|86.123|3.064|14.843|12.014|76.543|61.803|17.910|24.143|34.643|3.851
13.03.2006|17.714|14.746|20.836|18.387|3.006|50.151|3.866|1.843|28.840|41.789|3.117|3.943|11.026|2.617|33.605|20.319|2.467|8.353|41.434|67.174|6.505|3.616|15.519|47.210|7.337|8.213|86.288|3.075|14.865|12.039|76.641|61.745|17.986|24.191|34.668|3.866
14.03.2006|17.668|14.727|20.769|18.378|2.995|50.086|3.860|1.841|28.800|41.822|3.106|3.932|10.911|2.629|34.218|20.379|2.467|8.341|41.376|67.089|6.488|3.618|15.331|47.119|7.332|8.125|86.014|3.070|14.832|12.022|76.596|61.468|17.869|24.101|34.503|3.837
15.03.2006|17.661|14.700|20.705|18.366|2.975|49.981|3.853|1.837|28.750|41.723|3.081|3.924|10.956|2.614|34.123|20.347|2.452|8.326|41.305|66.980|6.453|3.609|15.390|46.843|7.396|8.175|85.927|3.063|14.759|12.002|76.646|61.061|17.943|23.909|34.288|3.851
16.03.2006|17.545|14.699|20.553|18.343|2.964|49.988|3.853|1.837|28.750|41.612|3.070|3.917|10.987|2.598|34.290|20.237|2.443|8.326|41.307|66.969|6.430|3.594|15.224|46.595|7.385|8.169|85.725|3.070|14.704|12.003|76.642|60.935|17.849|23.819|34.324|3.824
17.03.2006|17.128|14.592|20.278|18.138|2.917|49.629|3.825|1.824|28.540|41.099|3.019|3.879|11.017|2.560|33.970|20.176|2.412|8.266|41.003|66.483|6.323|3.579|14.853|45.908|7.437|8.141|84.658|3.056|14.490|11.915|76.453|60.103|17.699|23.422|33.921|3.785
20.03.2006|16.896|14.619|20.115|18.190|2.925|49.713|3.831|1.827|28.590|41.213|3.027|3.888|10.930|2.567|33.757|20.268|2.428|8.280|41.075|66.605|6.351|3.594|14.697|46.048|7.359|8.152|84.897|3.063|14.555|11.935|76.462|60.738|17.638|23.484|33.995|3.744
21.03.2006|16.902|14.611|20.202|18.156|2.931|49.665|3.829|1.826|28.575|41.157|3.032|3.886|10.831|2.581|33.549|20.180|2.430|8.276|41.053|66.617|6.365|3.593|14.659|46.022|7.335|8.132|84.941|3.049|14.552|11.928|76.256|60.627|17.570|23.526|34.056|3.729
22.03.2006|17.006|14.659|20.272|18.223|2.960|49.824|3.843|1.833|28.675|41.475|3.061|3.906|10.780|2.614|33.147|20.286|2.440|8.305|41.197|66.795|6.436|3.610|14.757|46.472|7.328|8.117|85.528|3.058|14.692|11.971|76.142|60.948|17.623|23.756|34.259|3.730
23.03.2006|17.092|14.666|20.417|18.191|2.964|49.871|3.845|1.833|28.685|41.468|3.067|3.910|10.906|2.640|33.333|20.327|2.439|8.308|41.214|66.821|6.448|3.600|14.948|46.531|7.392|8.177|85.681|3.067|14.718|11.972|76.621|60.937|17.811|23.796|34.316|3.796
24.03.2006|16.988|14.674|20.506|18.205|2.987|49.861|3.847|1.834|28.700|41.547|3.090|3.920|10.854|2.626|32.673|20.277|2.448|8.312|41.233|66.850|6.486|3.602|14.671|46.773|7.348|8.173|86.083|3.062|14.792|11.980|76.360|61.358|17.766|23.976|34.396|3.783
27.03.2006|16.858|14.657|20.327|18.222|2.973|49.798|3.842|1.832|28.670|41.650|3.072|3.912|10.852|2.636|33.005|20.456|2.444|8.304|41.193|66.781|6.452|3.599|14.516|46.619|7.342|8.167|85.800|3.064|14.732|11.967|76.321|61.249|17.745|23.841|34.203|3.814
28.03.2006|16.905|14.690|20.397|18.282|2.964|49.902|3.850|1.836|28.730|41.590|3.064|3.922|10.786|2.626|33.184|20.363|2.434|8.321|41.276|66.582|6.434|3.619|14.512|46.478|7.294|8.152|85.745|3.067|14.700|11.991|76.126|61.185|17.506|23.773|34.242|3.785
29.03.2006|16.815|14.686|20.374|18.240|2.979|49.880|3.849|1.836|28.720|41.506|3.081|3.922|10.757|2.613|33.339|20.288|2.452|8.318|41.261|66.881|6.468|3.616|14.413|46.621|7.254|8.134|85.992|3.051|14.746|11.987|75.989|61.372|17.547|23.907|34.468|3.768
30.03.2006|16.865|14.629|20.282|18.171|2.948|49.697|3.835|1.829|28.615|41.195|3.048|3.904|10.781|2.590|33.592|20.164|2.423|8.287|41.114|66.658|6.409|3.588|14.422|46.157|7.288|8.129|85.255|3.038|14.606|11.942|75.962|60.890|17.588|23.656|34.013|3.799
31.03.2006|16.821|14.620|20.302|18.095|2.947|49.645|3.832|1.828|28.595|41.054|3.044|3.895|10.760|2.606|33.226|20.075|2.431|8.282|41.082|66.691|6.414|3.589|14.458|46.203|7.253|8.125|85.248|3.032|14.603|11.936|75.990|60.830|17.531|23.623|34.032|3.809
03.04.2006|16.894|14.533|20.061|17.989|2.939|49.390|3.809|1.817|28.425|40.750|3.037|3.875|10.799|2.611|32.406|19.913|2.428|8.232|40.841|66.263|6.402|3.590|14.483|46.141|7.261|8.090|84.880|3.018|14.581|11.864|75.800|60.705|17.478|23.569|33.959|3.824
04.04.2006|16.823|14.578|19.965|18.043|2.912|49.521|3.821|1.822|28.515|40.831|3.008|3.891|10.771|2.596|32.389|19.841|2.425|8.259|40.967|66.473|6.344|3.616|14.201|45.746|7.222|8.111|84.514|3.040|14.487|11.900|76.005|60.371|17.470|23.339|33.562|3.856
05.04.2006|16.882|14.605|20.061|18.092|2.909|49.604|3.828|1.826|28.565|40.781|3.002|3.894|10.729|2.584|32.155|19.814|2.433|8.273|41.039|66.560|6.344|3.622|14.263|45.603|7.189|8.121|84.504|3.052|14.485|11.921|76.135|60.818|17.444|23.296|33.654|3.851
06.04.2006|16.989|14.596|20.066|18.075|2.896|49.570|3.826|1.825|28.550|40.747|2.988|3.896|10.648|2.575|31.864|19.717|2.435|8.269|41.017|66.510|6.322|3.617|14.279|45.379|7.186|8.119|84.333|3.063|14.456|11.914|76.050|60.731|17.334|23.184|33.601|3.841
07.04.2006|17.131|14.578|20.393|18.099|2.922|49.515|3.820|1.822|28.510|40.943|3.017|3.889|10.678|2.603|32.265|19.854|2.456|8.257|40.960|66.408|6.380|3.620|14.380|45.786|7.195|8.138|84.691|3.053|14.581|11.898|76.210|61.378|17.531|23.403|33.833|3.853
10.04.2006|17.226|14.631|20.619|18.160|2.954|49.681|3.835|1.829|28.615|41.243|3.048|3.906|10.707|2.632|32.180|19.980|2.476|8.287|41.111|66.655|6.446|3.642|14.375|46.183|7.204|8.175|85.341|3.055|14.720|11.942|76.205|61.997|17.579|23.646|34.184|3.846
11.04.2006|17.244|14.597|20.589|18.096|2.945|49.565|3.826|1.825|28.550|41.135|3.040|3.899|10.776|2.622|31.816|19.860|2.470|8.269|41.017|66.794|6.429|3.650|14.378|46.056|7.257|8.175|85.140|3.058|14.600|11.917|76.398|61.954|17.621|23.585|34.000|3.840
12.04.2006|17.228|14.605|20.580|18.162|2.941|49.548|3.828|1.826|28.565|41.302|3.037|3.907|10.773|2.615|30.926|19.932|2.451|8.273|41.045|66.527|6.414|3.650|14.486|45.940|7.276|8.187|85.091|3.060|14.611|11.921|76.402|61.775|17.558|23.558|33.943|3.842
13.04.2006|17.221|14.648|20.629|18.241|2.955|49.725|3.838|1.831|28.645|41.503|3.053|3.921|10.698|2.635|31.060|19.962|2.463|8.296|41.154|66.736|6.452|3.646|14.611|46.217|7.256|8.202|85.444|3.072|14.733|11.955|76.407|62.112|17.503|23.686|34.205|3.859
14.04.2006|17.223|14.646|20.573|18.218|2.952|49.711|3.839|1.831|28.645|41.441|3.050|3.922|10.728|2.633|31.042|19.941|2.469|8.296|41.154|66.763|6.443|3.644|14.622|46.166|7.283|8.214|85.418|3.074|14.704|11.955|76.448|62.308|17.532|23.660|34.104|3.863
18.04.2006|17.210|14.606|20.362|18.260|2.907|49.586|3.828|1.826|28.565|41.310|3.006|3.910|10.711|2.596|30.668|19.766|2.444|8.273|41.045|66.544|6.347|3.639|14.598|45.317|7.275|8.185|84.606|3.069|14.551|11.922|76.214|61.462|17.348|23.316|33.837|3.848
19.04.2006|17.186|14.583|20.281|18.184|2.884|49.526|3.823|1.823|28.525|41.259|2.979|3.908|10.782|2.594|29.733|19.727|2.443|8.262|40.984|66.416|6.306|3.653|14.649|45.028|7.318|8.197|84.114|3.060|14.463|11.906|76.311|61.259|17.361|23.104|33.515|3.871
20.04.2006|17.150|14.552|20.276|18.096|2.878|49.412|3.815|1.819|28.460|41.120|2.973|3.900|10.692|2.595|29.188|19.594|2.431|8.242|40.894|66.283|6.297|3.654|14.569|44.773|7.308|8.177|83.929|3.065|14.433|11.878|76.413|61.067|17.326|23.056|33.581|3.850
21.04.2006|17.108|14.541|20.298|18.051|2.881|49.388|3.812|1.818|28.440|41.073|2.977|3.899|10.711|2.599|29.693|19.698|2.434|8.237|40.859|66.231|6.311|3.626|14.585|44.668|7.321|8.216|83.973|3.056|14.447|11.870|76.513|61.050|17.393|23.089|33.584|3.826
24.04.2006|17.135|14.506|20.193|18.065|2.863|49.277|3.805|1.814|28.385|41.028|2.960|3.888|10.817|2.597|29.936|19.965|2.443|8.221|40.780|66.112|6.291|3.625|14.570|44.483|7.356|8.204|83.654|3.038|14.471|11.847|76.468|61.119|17.330|22.953|33.386|3.814
25.04.2006|17.065|14.517|20.097|18.043|2.853|49.241|3.805|1.814|28.390|40.890|2.947|3.889|10.776|2.593|30.863|19.975|2.418|8.222|40.793|66.134|6.275|3.618|14.388|44.037|7.336|8.211|83.434|3.042|14.397|11.850|76.533|60.738|17.267|22.853|33.402|3.782
26.04.2006|17.091|14.527|20.205|18.012|2.852|49.332|3.809|1.816|28.415|40.828|2.949|3.893|10.694|2.595|30.587|19.888|2.416|8.229|40.829|66.248|6.281|3.644|14.387|44.057|7.310|8.179|83.504|3.052|14.392|11.860|76.261|60.622|17.205|22.866|33.421|3.712
